,T,sigma,K,r,model,Model Price,Binomial Price,Lower,Upper,Absolute Error,Relative Error
140,0.5,0.15,110,0.05,poly,60.75196335477547,1.6330664059689672,13.485749064311058,108.01817764523989,59.1188969488065,3620.1159201317823
141,0.5,0.15,110,0.05,random forest,131.1486003489291,1.6330664059689672,75.42850043908726,186.86870025877096,129.51553394296013,7930.81857967148
142,0.5,0.15,110,0.05,xgboost,150.20263797286538,1.6330664059689672,92.34354491296625,208.0617310327645,148.5695715668964,9097.582990126099
143,0.5,0.15,110,0.05,mlp,67.85582676414667,1.6330664059689672,18.85360690242846,116.85804662586489,66.22276035817771,4055.117423034916
144,0.5,0.25,90,0.01,poly,139.19114436336994,13.136524563268889,29.650861623148103,248.73142710359178,126.05461980010105,959.5735857912
145,0.5,0.25,90,0.01,random forest,250.17589577369287,13.136524563268889,135.75721789802807,364.5945736493577,237.03937121042398,1804.4298556195838
146,0.5,0.25,90,0.01,xgboost,293.05275389034273,13.136524563268889,168.10971388708776,417.9957938935977,279.91622932707384,2130.8240850076068
147,0.5,0.25,90,0.01,mlp,125.7447720228913,13.136524563268889,33.82626665079998,217.66327739498263,112.6082474596224,857.2149118838247
148,0.5,0.25,90,0.03,poly,139.05802887804526,13.766780276846289,29.49702680394799,248.61903095214254,125.29124860119897,910.0984114050293
149,0.5,0.25,90,0.03,random forest,252.6979174147176,13.766780276846289,138.06951683981464,367.3263179896206,238.93113713787133,1735.562944515927
150,0.5,0.25,90,0.03,xgboost,293.2070609147818,13.766780276846289,168.24988062241212,418.16424120715146,279.4402806379355,2029.8157958394465
151,0.5,0.25,90,0.03,mlp,126.25322046510445,13.766780276846289,34.26774179355806,218.23869913665084,112.48644018825816,817.0860428232729
152,0.5,0.25,90,0.05,poly,140.09775591587015,14.407136696553135,30.50227144709747,249.69324038464282,125.69061921931701,872.4191480003666
153,0.5,0.25,90,0.05,random forest,253.42986863188898,14.407136696553135,137.4665270998788,369.3932101638992,239.02273193533586,1659.0578472995353
154,0.5,0.25,90,0.05,xgboost,293.3602617457506,14.407136696553135,168.3892422279648,418.3312812635364,278.95312504919747,1936.2148838078022
155,0.5,0.25,90,0.05,mlp,123.09092725488537,14.407136696553135,31.102742966909872,215.07911154286086,108.68379055833223,754.3746744926389
156,0.5,0.25,100,0.01,poly,133.6811927546549,7.257895138671011,24.274808635030794,243.08757687427897,126.42329761598387,1741.8727496128192
157,0.5,0.25,100,0.01,random forest,246.66187929939875,7.257895138671011,126.00381472721077,367.3199438715867,239.40398416072773,3298.531868904417
158,0.5,0.25,100,0.01,xgboost,283.94100595962084,7.257895138671011,159.07502034793356,408.8069915713081,276.6831108209498,3812.1673782078515
159,0.5,0.25,100,0.01,mlp,121.83287107837543,7.257895138671011,30.303230348221206,213.36251180852966,114.57497593970442,1578.6253969037664
160,0.5,0.25,100,0.03,poly,134.2656534778898,7.735372132498741,24.861441585839174,243.66986536994042,126.53028134539106,1635.7361892622773
161,0.5,0.25,100,0.03,random forest,231.39075656688124,7.735372132498741,122.5356288874535,340.24588424630895,223.65538443438248,2891.333223578677
162,0.5,0.25,100,0.03,xgboost,284.11397004782026,7.735372132498741,159.23074521970705,408.9971948759335,276.3785979153215,3572.9192232933146
163,0.5,0.25,100,0.03,mlp,121.87420208521958,7.735372132498741,30.340728589718807,213.40767558072037,114.13882995272084,1475.5441366962498
164,0.5,0.25,100,0.05,poly,134.3481637246204,8.229770391443004,24.930331885753873,243.76599556348694,126.11839333317741,1532.4655164658107
165,0.5,0.25,100,0.05,random forest,236.9049673766958,8.229770391443004,122.52677864725084,351.2831561061407,228.6751969852528,2778.633985013973
166,0.5,0.25,100,0.05,xgboost,284.28572532270005,8.229770391443004,159.3855841761718,409.1858664692283,276.055954931257,3354.357920098102
167,0.5,0.25,100,0.05,mlp,129.74292363151304,8.229770391443004,37.32872343227139,222.1571238307547,121.51315324007004,1476.5072105342658
168,0.5,0.25,110,0.01,poly,122.76609660706808,3.5574077272886253,15.25554107433912,230.27665213979702,119.20868887977946,3350.9987614109555
169,0.5,0.25,110,0.01,random forest,233.01323593092317,3.5574077272886253,119.2966735362816,346.72979832556473,229.45582820363455,6450.085168576405
170,0.5,0.25,110,0.01,xgboost,275.5256340601732,3.5574077272886253,150.79481680369514,400.2564513166513,271.96822633288457,7645.123842472016
171,0.5,0.25,110,0.01,mlp,124.818106113763,3.5574077272886253,33.704682367083635,215.93152986044237,121.26069838647437,3408.681480514366
172,0.5,0.25,110,0.03,poly,122.62342237977826,3.8623738679169533,15.089818421955485,230.15702633760105,118.7610485118613,3074.8201125312407
173,0.5,0.25,110,0.03,random forest,238.2620821028218,3.8623738679169533,123.82573971841553,352.69842448722807,234.39970823490486,6068.799040454382
174,0.5,0.25,110,0.03,xgboost,275.7115181595663,3.8623738679169533,150.95990451199037,400.46313180714225,271.84914429164934,7038.395390715047
175,0.5,0.25,110,0.03,mlp,126.78569604229129,3.8623738679169533,35.688733615016346,217.88265846956625,122.92332217437433,3182.5847620667823
176,0.5,0.25,110,0.05,poly,122.70896130128561,4.184860717702995,15.161495675509045,230.2564269270622,118.52410058358262,2832.2113584855138
177,0.5,0.25,110,0.05,random forest,239.69718466007703,4.184860717702995,124.855247478378,354.539121841776,235.51232394237402,5627.721920256478
178,0.5,0.25,110,0.05,xgboost,275.8961047445868,4.184860717702995,151.12404020204207,400.66816928713155,271.71124402688383,6492.718930345235
179,0.5,0.25,110,0.05,mlp,120.25076159000467,4.184860717702995,29.235025223636782,211.26649795637258,116.06590087230168,2773.471059175619
180,0.5,0.4,90,0.01,poly,268.4525903204019,16.645657023377726,62.89504508677601,474.0101355540278,251.80693329702416,1512.7485382125676
181,0.5,0.4,90,0.01,random forest,345.00122526145094,16.645657023377726,175.76083834566015,514.2416121772417,328.3555682380732,1972.620052046726
182,0.5,0.4,90,0.01,xgboost,410.5896081912,16.645657023377726,203.18509534199958,617.9941210404004,393.94395116782226,2366.6470516276645
183,0.5,0.4,90,0.01,mlp,157.02890135290585,16.645657023377726,46.78401333301994,267.2737893727917,140.3832443295281,843.3625908089366
184,0.5,0.4,90,0.03,poly,268.4838332421427,17.180001894803347,62.93206839096126,474.0355980933241,251.30383134733933,1462.7695205514174
185,0.5,0.4,90,0.03,random forest,330.6291642216979,17.180001894803347,163.3175013336504,497.94082710974544,313.44916232689457,1824.5001615611436
186,0.5,0.4,90,0.03,xgboost,410.6513193976187,17.180001894803347,203.2522417358506,618.0503970593868,393.47131750281534,2290.286810863703
187,0.5,0.4,90,0.03,mlp,157.05865305678836,17.180001894803347,46.831539899436464,267.28576621414027,139.878651161985,814.1946201082543
188,0.5,0.4,90,0.05,poly,268.51479210002464,17.720766272803047,62.96894249133072,474.06064170871855,250.7940258272216,1415.2549724225403
189,0.5,0.4,90,0.05,random forest,360.1986405195819,17.720766272803047,157.96429520982065,562.4329858293431,342.4778742467788,1932.6358069086261
190,0.5,0.4,90,0.05,xgboost,410.7125716987438,17.720766272803047,203.31906305701722,618.1060803404703,392.9918054259407,2217.6908118758106
191,0.5,0.4,90,0.05,mlp,157.08818341842007,17.720766272803047,46.87887189321032,267.29749494362983,139.36741714561703,786.4638300631008
192,0.5,0.4,100,0.01,poly,267.3390169387815,11.439106399227157,62.21090291601513,472.4671309615479,255.89991053955436,2237.0620711845404
193,0.5,0.4,100,0.01,random forest,355.794476802941,11.439106399227157,153.59775354477296,557.9912000611091,344.35537040371383,3010.3345347585805
194,0.5,0.4,100,0.01,xgboost,402.1765496167008,11.439106399227157,194.89157036327057,609.461528870131,390.73744321747364,3415.803906185123
195,0.5,0.4,100,0.01,mlp,158.0028249299823,11.439106399227157,47.863730677211166,268.14191918275344,146.56371853075512,1281.2514668161245
196,0.5,0.4,100,0.03,poly,267.3771844753958,11.887787879768858,62.25355947570384,472.50080947508775,255.4893965956269,2149.1752643940563
197,0.5,0.4,100,0.03,random forest,341.66971445933285,11.887787879768858,163.64109126618874,519.698337652477,329.781926579564,2774.123578877117
198,0.5,0.4,100,0.03,xgboost,402.246469355882,11.887787879768858,194.96535512020935,609.5275835915547,390.3586814761132,3283.6948759864918
199,0.5,0.4,100,0.03,mlp,158.03842631367132,11.887787879768858,47.915934209420655,268.160918417922,146.15063843390246,1229.4182896939792
200,0.5,0.4,100,0.05,poly,267.4150443235833,12.34551377521058,62.29604803324136,472.5340406139252,255.0695305483727,2066.09085043139
